rank,name,slug,homepage,feed_url,platform,products_seen,ships_internationally,image_quality,image_px,currency,city,category,vibe,feed_verified,image_url,shipping_evidence,notes
24,Modesty in Style,modesty-in-style,https://modestyinstyle.com.au,https://modestyinstyle.com.au/products.json,shopify,>=30,unknown,excellent,2955x3693,AUD,Australia,Modest sets & knits,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0329/8865/9848/files/IMG_4129_ed0b4b29-6746-4c32-a3ce-a810b38a4ba8.jpg?v=1785903505,"COULD NOT FIND A STATEMENT. https://modestyinstyle.com.au/policies/shipping-policy contains only Australian return-address and return-shipping wording with no international clause; /pages/shipping and /pages/faq both 404; the only shipping copy on the homepage is the domestic banner “FREE SHIPPING AUS WIDE FOR ORDERS OVER $250”. The footer exposes no other shipping page. Leaning domestic, but recording unknown rather than asserting.","RANK 21/61 — verified 3225x4032 imagery and a 250+ catalogue, dragged down by unconfirmed shipping and a low price floor. A FALSE-PREMISE CORRECTION WORTH KEEPING ON RECORD: the feed serves hero images with a .heic extension (e.g. IMG_6534.heic) which browsers cannot natively render. I tested rather than assumed — Shopify's CDN transcodes on delivery, returning content-type: image/png with a real 2604x3255 PNG body. The .heic URLs are safe to ingest; this is a non-issue. EDITORIAL FLAG: the most high-street of the accepts — alongside $150 coats and $110 co-ord sets it carries $30 printed modal"
25,LABAYAH DESIGN,labayah,https://www.labayah.com,https://www.labayah.com/products.json,shopify,>=30,unknown,excellent,2668x4000,EUR,Antwerp,Abayas,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0564/4871/2867/files/fullsize_E-com_0168_LABAYAH_01may24.jpg?v=1742766769,"UNKNOWN — no shipping-destination statement found, and I am not guessing. 404 on: /policies/shipping-policy, /policies/refund-policy, /policies/terms-of-service, /pages/shipping, /pages/shipping-returns, /pages/verzending, /pages/faq. /pages/contact is a bare form with no address. /pages/algemene-voorwaarden loads but the only relevant line is Article 11: “As plaats van levering geldt het adres dat de consument aan het bedrijf kenbaar heeft gemaakt” — the delivery address is whatever the customer supplies, which says nothing about which countries are served. The homepage renders a 190+ territo","RANK 22/61 — the most uniform image set in the round (2668x4000 on essentially every row) and the cleanest single-category catalogue: 34 SKUs, all women's abayas and abaya sets, €49.99 essentials to €239.99 couture, 100% on-theme with zero non-apparel to filter. Held here purely because shipping is unresolved — worth a manual email to info@labayah.com before launch. FEED WEAKNESS: product_type is empty and tags are empty arrays on every row, so classification is title-only — but titles are explicit (LD SATIN ESSENTIAL ABAYA - AUBERGINE) so it should tag cleanly. WATCH THE HANDLES: several carr"
26,İpekstil,ipekstil,https://ipekstil.com,https://ipekstil.com/products.json,shopify,>=30,unknown,excellent,2449x3674,TRY,Istanbul,Abayas,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0795/3393/2779/files/dsc02243_02f0df6c-215f-440c-bbb8-d2b542529ce5.jpg?v=1776260830,"NO STATEMENT EXISTS — reporting unknown rather than guessing. HTTP 404 on: /policies/shipping-policy, /pages/kargo-ve-teslimat, /pages/sss, /pages/teslimat-ve-iade, /pages/siparis-ve-kargo, /pages/yardim, /en. HTTP 200 with NO international mention on: /pages/iletisim, /pages/hakkimizda, /policies/terms-of-service, /policies/refund-policy and the homepage (which advertises only domestic offers — “2500 tl ve Üzeri Alışverişlerde Kargo Ücretsiz”). The single 'uluslararası' hit in /policies/privacy-policy is about an encryption standard, not shipping. Structurally: zero Shopify Markets localizati","RANK 16/61 — the best hijabi editorial photography in the round at 2449x3674 median, on a confirmed 634-product feed; pushed down by an unresolved shipping question and a heavy curation load. CORRECTION TO SOURCE BRIEF: it claimed “the site sits behind bot protection and has no Shopify feed”. There IS a working feed of 634 products — the bot protection is just Shopify's rate limiter returning a “Verifying your connection…” HTML page with HTTP 429. Pacing requests ~10-15s apart with a browser User-Agent gets clean JSON every time; same was true of Beyza and Marina, so three of twelve first-cont"
27,Vivi Zubedi,vivi-zubedi,https://vivizubedi.com,https://vivizubedi.com/wp-json/wc/store/v1/products,woo,10,unknown,excellent,1524x2200,IDR,Jakarta,Abayas & scarves,elegant,HTTP 200 re-probed OK,https://vivizubedi.com/wp-content/uploads/2026/07/VZ-MAVELYN-TOP_BLUSH-PINK_DSC00689-Edited1-copy.jpg,"COULD NOT FIND A STATEMENT. https://vivizubedi.com/frequently-asked-questions/ shipping section says only “Shipping times vary by seller and location. Most orders are processed within 1-3 business days, with delivery times depending on your location.” — no international wording, no countries. https://vivizubedi.com/shipping-policy/ returns HTTP 404 and the footer exposes no shipping/delivery page at all. The site offers an IDR/USD currency toggle, but a currency selector is not a shipping statement, so recording unknown rather than guessing.","RANK 35/61 — the only exactly-counted large feed in its batch (490, fully paginated) and real retouched DSLR capture, but it carries the heaviest curation burden of any accept and shipping is unknown. INGEST IS AN EXISTING CODE PATH, not new work: data/brands.ts line 61 already carries platform 'woo' with a wp-json Store API feedUrl (La Femme Collectie), and lib/ingest.ts has wooToShopify with tests in lib/ingest.test.ts. (Aside: CLAUDE.md §3 is STALE — it describes the pipeline as 34 Shopify feeds, but brands.ts now holds 58 brands including Woo ones.) MANDATORY CURATION before publishing, ex"
28,We Are Elegance,we-are-elegance,https://weareelegance.co.uk,https://weareelegance.co.uk/products.json,shopify,124,yes,good,3024x4032,GBP,United Kingdom (city not stated; /pages/about-us 404s),Occasion abayas,maximalist,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0670/1783/4817/files/IMG_2026_01_08-13_09_09_5780_4904CA85.jpg?v=1769872900,"https://weareelegance.co.uk/policies/shipping-policy — “Yes! We ship internationally.” and “Please note some international orders may carry custom charges depending on your country.” The homepage country selector lists 89 destinations including US, CA, AU, NZ, JP, SG, MY, ID, PK, IN, SA, AE, QA, KW, OM, BH, TR, ZA.","RANK 38/61 — high resolution (median 3023px) and worldwide shipping, but graded good rather than excellent on TWO REAL PHOTOGRAPHY CAVEATS, both verified rather than assumed. (1) A “We Are Elegance” text watermark is burned into some featured frames — confirmed on …/2DFB57FA-AF5C-4C13-9B7A-1870DDC82321.jpg (3024x3780). It appeared on 1 of the 7 frames I viewed, so it is occasional rather than systemic — unlike Azba, which is why this survives and Azba does not. (2) Roughly 3 of 7 featured frames are head-cropped or partial (e.g. …/6C6BFEFD-BF77-464E-97BE-564975EF1B5B.jpg, 2799x3731, cropped at"
29,Beyond Label,beyond-label,https://beyond-label.com,https://beyond-label.com/products.json,shopify,70,yes,good,2508x3760,AED,Dubai,Abayas & kaftans,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0527/8367/7631/files/20Jan2161.jpg?v=1707554441,https://beyond-label.com/pages/terms-conditions (/policies/shipping-policy contains only a redirect link to this page; /pages/refund-policy covers returns only) — “The time duration for the shipment to reach the customer: 2-3 days for shipping in UAE / 3-10 days worldwide shipping + GCC… Delivery Charge: Local (UAE) - Free of charge / International - according to the DHL rates.”,"RANK 39/61 — second-highest pricing of the Gulf set (AED 2,190 median, range 1,000–4,800, solidly occasion/luxury tier) with worldwide DHL, but packshot rather than editorial photography keeps it here on a photography-first ranking. FLAG FOR TINA: 70 SKUs are sold in tight colour runs of one silhouette (the LB94 dress in dark purple / dark green / aqua / pink / black-gold / black-silver), which reads as considered small-batch production rather than dropship volume — but it creates near-duplicate grid cards, since six LB94 rows will look like one product repeated. Worth considering a colourway-"
30,Heaven Lights,heaven-lights,https://heavenlights.id,https://shop.heavenlights.id/products.json,shopify,>=30,yes,good,1890x2362,IDR,Indonesia,Abayas & modest,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0666/6738/0919/files/iron_black_-_NAVY4-4x5.jpg?v=1786000577,"Quoted from the homepage banner at https://heavenlights.id/ — “We Are Now Shipping Worldwide”. CAVEAT ON STRENGTH OF EVIDENCE: this is banner copy linking to a discount page, not a policy page. There is NO shipping policy page in the footer (only privacy, terms, refund) and /policies/shipping-policy returns HTTP 404, so terms, rates and destinations could not be corroborated.","RANK 49/61 — decent 4:5 portrait standard at 1890x2362 and a worldwide claim, but the evidence is banner copy and there is a real ingest hazard. DOMAIN WARNING — this matters for Invariant 1 and outbound link correctness: the candidate URL https://shop.heavenlights.id 301-redirects to https://heavenlights.id for page routes, but the product feed ONLY resolves on the shop. subdomain. Homepage is therefore set to the canonical https://heavenlights.id while feedUrl stays on shop.heavenlights.id — VERIFY the /products/<handle> permalink actually resolves on the canonical host before ingest, becaus"
31,LaMeera Moda,lameera-moda,https://lameeramoda.com,https://lameeramoda.com/products.json,shopify,>=30,yes,good,1500x2250,"USD — CONFLICT, see notes","Dearborn, Michigan",Modest dresses & abayas,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/1132/4288/files/1_7864c6d3-76f1-46a7-a53d-ee46218bbf7e.jpg?v=1783051957,"https://lameeramoda.com/pages/faqs — “Yes! We offer FREE DHL Express Shipping (approximately 5 business days) for international orders. We will cover shipping costs up to $70.” Page also warns international customers “may be subject to duty and tax fees, which vary by country.” The strongest international shipping offer of its batch. NOTE: /policies/shipping-policy has NO international statement and /pages/shipping 404s — the FAQ is the only authoritative source.","RANK 28/61 — MERGED RECORD: this brand was found twice, by the US scout as “LaMeera Moda” and by the AU scout as “Lameera Moda”, same homepage, same Shopify store, same measured hero file, same FAQ shipping quote. De-duplicated to one row. TWO CONFLICTS TO RESOLVE BEFORE brands.ts. (1) CURRENCY: US scout recorded USD, AU scout recorded AUD. Neither cited a cart.js/config check. Recording USD because the US scout verified a physical address — /pages/contact-us gives “5279 Schaefer Road, Dearborn MI 48126” — while the AU scout asserted “Australia” with no evidence and its batch was all-AUD, cons"
32,Meriam Abdulaziz,meriam-abdulaziz,https://bymeriamabdulaziz.com,https://bymeriamabdulaziz.com/products.json,shopify,56,yes,good,1290x2293,AED,Dubai,Abayas,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0959/2599/3750/files/1A3F54DE-A5D9-4BD7-973F-301162E55A98.jpg?v=1785674266,"https://bymeriamabdulaziz.com/pages/terms-conditions (/policies/shipping-policy returns 404 and the store has no shipping page — only 6 pages exist in total), section 6 — “Shipping — International Shipping: Handled by DHL at fixed rates. Local Shipping (UAE): Available at set fees, confirmed during the order process.”","RANK 46/61 — a proper studio shoot undermined by its delivery pipeline, which is what places it here. CONFIRMED THE PLUMBING CAVEAT PRECISELY: 51 of 56 primary images are named IMG_xxxx or WhatsAppImage, so assets travel through a phone/WhatsApp pipeline and get recompressed — median primary width 1280px, though masters run to 4284px. The photographs themselves are consistent across the three frames I opened. Designer-scale at 56 SKUs (54 blank product_type, 2 'abaya'), so nearly everything will need the garment tagger to work from titles like 'Elastic slim casual' and 'The Wide Neck' — no gar"
33,Beyza,beyza,https://beyzaonline.com,https://beyzaonline.com/products.json,shopify,>=30,yes,good,1200x1800,TRY,Istanbul,Abayas,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0918/9379/2952/files/ananas-ferace-3583_23c0c38e-3cfe-4dfa-9659-1331a790d0af.jpg?v=1785848297,"https://beyzaonline.com/policies/shipping-policy — “Yurtdışı Gönderimleri: Beyza Online olarak dünyanın birçok ülkesine uluslararası gönderim hizmeti sunmaktayız.” (we offer international shipping to many countries around the world) plus “Yurtdışı gönderilerinde oluşabilecek gümrük vergileri… alıcının sorumluluğundadır”. Corroborated at /pages/sss — “Yurtdışına gönderim yapıyor musunuz? Evet.” Carrier named as DHL eCommerce. Market list enumerated from the localization form (33 countries): AT, AU, BE, BG, CA, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, NZ, PL, P","RANK 43/61 — THE BEST EDITORIAL FIT OF THE TURKISH SET and the only one with an explicit prose international-shipping guarantee, but ranked here because photography is the weakest of that set (1200px median, flat mood) and the owner weighted photography first. Page-1 types (250) are almost pure covering-wear with none of the general-RTW noise: Ferace 83, Elbise 79, Alt-Üst Takım 18, Abaya 18, Giy Çık 13, Trençkot & Yağmurluk 7, Kaban 7, Pelerin & Panço 3, Tunik 3, Kap & Pardesü 3, Etek 3 — only 2 Çanta to veto and zero men's. This directly fills the abaya and ferace lanes the catalogue is thin"
34,Nada Puspita,nada-puspita,https://nadapuspita.com,https://nadapuspita.com/products.json,shopify,>=30,yes,good,1200x1800,IDR,Jakarta,Hijabs,maximalist,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0569/9567/6324/files/SweetEscapeScarf-Whisper4.webp?v=1785816217,"https://nadapuspita.com/policies/shipping-policy — “We ship worldwide! We use City-Link Express for all overseas shipping. The Estimated Delivery Times may vary depending on your location. It usually takes 5-30 working days.” 36 destinations are named including UK, Italy, France, Belgium, Luxembourg, Austria, Australia, New Zealand, Japan, South Korea, Hong Kong, China, India, Saudi Arabia, UAE, Qatar, Kuwait, Turkey and Egypt. I re-verified on a second independent read because an Indonesian brand using City-Link Express looked odd — the wording was identical both times.","RANK 50/61 — the best international reach of the Indonesian set by a wide margin, and clean consistent photography, but ranked here on scope: ROUTE TO THE HIJAB LANE, NOT THE CLOTHING GRID. I confirmed the catalogue is scarf-dominant (~67% of sampled items are 'Printed Square' scarves at IDR 325k; the balance is brooches and a small apparel/leather range). Under Invariant 5 it will correctly never appear in mixed grids, so it adds depth to /hijabs, not breadth to the directory. NON-APPAREL TO VETO: 'Nadagram Magnet Pin' brooches at IDR 195k — and note §10.10, ~60 hijab magnets previously slipp"
35,Store WF,store-wf,https://storewf.com,https://storewf.com/products.json,shopify,>=250,yes,good,1200x1600,GBP,"London, United Kingdom (design office; operations in Turkey)",Modest sets & separates,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/2217/8615/files/06.08.2026_AjansMerter_18363.jpg?v=1786096146,https://storewf.com/policies/shipping-policy — headed “WORLDWIDE SHIPPING”. “UK: FREE SHIPPING over £75 (5-8 working days)”; “Europe and USA: FREE SHIPPING over £75” with “Standard shipping £10 (5-8 working days)”; “Rest of the World: £15 (50% of the original delivery cost) (3-5 working days)”.,"RANK 36/61 — the best fit for the gap the catalogue actually has (co-ords and separates rather than more abayas) with a worldwide policy and a real commissioned shoot; ranked mid-table because 1620px median is genuinely mid-tier even though the frames are crisp. Title breakdown across 250: dress 110, kaftan 48, set 47, abaya 43, skirt 25, kimono 23, shirt 21, trouser 20, jacket 16, cape 10, tunic 7. Self-description from /pages/about-us: “CONSERVATIVE WOMEN'S FASHIONABLE CLOTHING” and “MODESTY AND STYLE FOR THE CONSERVATIVE YET MODERN ISLAMIC CLOTHING FOR WOMEN” — women's-only and modest by in"
36,Serrb,serrb,https://www.serrb.com,https://www.serrb.com/products.json,shopify,>=250,yes,good,1001x1500,AED,Dubai,Abayas & modest dresses,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/2717/2058/files/SSL19-1.jpg?v=1779176649,https://www.serrb.com/pages/delivery-policy (/policies/shipping-policy returns 404) — “2-3 weeks to deliver anywhere in the U.A.E… Orders will be shipped via courier and shipping times will vary from country to country depending on custom clearance procedures. The estimated time for receiving any order is 2-3 weeks. Delivery charges are different for every country as it depends on the delivery location and weight of the package. We ship via DHL.”,"RANK 45/61 — a live, real designer storefront with a genuine collection calendar (SS26/AW25/RMDN'26/Eid24 codes), aspirational pricing (AED 1,465 median, range 1–3,460) and worldwide DHL — but the 1000px median primary is the lowest of the accepted UAE set, which on a photography-first ranking is decisive. 250 products; types Dresses 152, Abaya 74, Casual Wear 20, Kaftan 1. Zero non-apparel and zero title-level immodesty flags, BUT the title regex is weak here because product names are pure season codes (Ss26 L19), so titles carry NO garment information at all. Two consequences: (1) tagDiscove"
37,AbayaButh,abayabuth,https://abayabuth.com,https://abayabuth.com/products.json,shopify,>=250,yes,good,1000x1500,GBP,United Kingdom (city not stated on /pages/about-us),Abayas,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0400/6998/8502/files/AB_56_030.jpg?v=1767567701,"https://abayabuth.com/policies/shipping-policy — “For international orders our delivery partners are DPD, FedEx, ParcelForce and Royal Mail.” Europe: “Approximately 3-5 working days” at £13.99; “Rest of the world: Approximately 7 working days” at £18.99. Also: “we cannot control your country's customs and how long they take to release your item.”","RANK 37/61 — 500+ SKUs, 8.4 images per product and worldwide rest-of-world shipping at a reasonable rate, but 1200px median is the lowest of the UK accepts and it needs real curation. ACCEPT WITH A CURATION CONDITION — DO NOT INGEST BARE. Their own /pages/about-us confirms menswear and kidswear: “thobes, jubbahs” and “junior girls and boys collections with matching sets for families”. In the first 250 rows I counted 10 men's titles (Premium Short Sleeve Emirati Thobe with Zip - Lilac Ash, Premium Moroccan Thobe With Hood - Midnight Navy, Premium Classic Buttoned Thobe - Navy, Premium Open Bish"
38,Abadia,abadia,https://shop.abadia.me,https://shop.abadia.me/products.json,shopify,142,yes,good,640x1080,AED,"Riyadh (storefront is configured AE/AED, so operations appear to run out of Dubai)",Modest dresses & ready-to-wear,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/1782/9393/files/velvet-abadia-kaftan-in-pink_1.jpg?v=1768809106,"https://shop.abadia.me/pages/shipping-and-delivery (/policies/shipping-policy exists but its body is empty) — “Abadia ships internationally, with the majority of orders delivered within the United Arab Emirates. All shipments are fulfilled by a third-party courier… International orders arrive within 4 to 10 working days, depending on the destination. Delivery fees for international orders are calculated at checkout according to the destination country and location.”","RANK 59/61 — THE MOST PAINFUL RANKING IN THE LIST, and I want the tension stated plainly. Editorially this is the aspirational anchor of the whole directory — first Saudi luxury brand on Net-a-Porter, since stocked by Browns, Selfridges and Harrods, top of the batch by price (median AED 2,450, range 750–7,155) with the best composition on the list. But on a photography-FIRST ranking it falls here on a hard measurement: EVERY primary image is 640px wide (141 of 142; the last is 577px), the lowest in the round. Worth a deliberate decision from Tina, because this is the brand most likely to be wa"
39,Ahlam Collections,ahlam-collections,https://ahlamcollections.com,https://ahlamcollections.com/products.json,shopify,>=30,limited,good,4284x5712,CAD,Canada,Abayas,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0666/9156/3831/files/IMG_5559.heic?v=1779460074,"https://ahlamcollections.com/policies/shipping-policy — “Please note shipping costs vary from country to country and Ahlam Collections does not cover the cost of duties and taxes.” The page also tells customers who cannot order to their country to contact them by email or Instagram. Multi-country shipping is confirmed, but there is NO explicit worldwide claim, hence 'limited'.","RANK 40/61 — the data partly VINDICATES this brand against the scout, which ranked it last for inconsistency: aspect-ratio consistency is actually perfect (100% portrait-dominant) and resolution is strong. The scout's 'not unified' read is still fair on a different axis — sampled images span 4284x5712, 3024x4032, 2400x3600 and 1691x2532, i.e. several different shoots, and 79% of filenames are camera-default. I investigated one apparent risk and it turned out to be a non-issue: 40 of 129 images (31%) are .heic, which Chrome cannot decode natively — but I verified the CDN transcodes on delivery "
40,Aurora Abaya,aurora-abaya,https://www.aurorabaya.de,https://www.aurorabaya.de/products.json,shopify,>=30,limited,good,2139x3210,EUR,Bochum,Abayas,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0780/5550/6250/files/2410C634-61BC-4B02-B979-C2732F697FAF.jpg?v=1785175302,"https://www.aurorabaya.de/policies/shipping-policy — “Die Lieferung erfolgt im Inland (Deutschland) und in die nachstehenden Länder: England, Schweiz, USA, Norwegen.” (Delivery is domestic within Germany and to the following countries: England, Switzerland, USA, Norway.) The rate table additionally prices Germany €5.49 (free over €100), EU €15.99, UK €26.99, Switzerland/Norway €29.99, USA/Canada €47.99, Australia €49.99. Explicitly not worldwide — a named allow-list.","RANK 47/61 — WEAKEST OF THE EUROPEAN ACCEPTS; take it or leave it depending on how tight you want the bar. In its favour: women's-only, self-produced, coherent soft-neutral palette, consistent studio crop, and an independent German label rather than a Turkish-wholesale reseller, which is genuinely rare in that market. AGAINST IT: every image filename is an iOS UUID (2410C634-61BC-…, A00873F4-FF87-…), i.e. self-shot on a phone rather than a commissioned studio session, and the first image on the newest product is off-register — …/2410C634-61BC-4B02-B979-C2732F697FAF.jpg (2139x3210) is a golden-"
41,Modista,modista,https://modistaapparel.com,https://modistaapparel.com/products.json,shopify,>=30,limited,good,2000x3000,USD as served to my probe (scout claimed CAD — see notes),Canada,Abayas & hijabs,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0818/8071/1458/files/OliveSetWhite1._Resized.jpg?v=1752798448,"https://modistaapparel.com/policies/shipping-policy — “We currently offer shipping products to Canada & US.” An explicit, unambiguous destination statement: Canada and US only.","RANK 41/61 — solid photography and an unambiguous (if narrow) shipping statement, but two scout claims are wrong and the reach is North America only. (1) The standout “16.2 images per product” figure is OVERSTATED — actual median is 8.5 images/product. (2) THREE products have zero images: Butterfly Abaya, Lace Abaya, New abaya - 1 pc. Per §3, pickImage drops any product with no image, so these will silently vanish at normalize time — expect 41 published, not 44. The scout's caveat about flat-shot hijab accessories and pickImage is well-founded and worth heeding given §10.11. Median $59. SAME C"
42,Awrah Abayas,awrah-abayas,https://awrahabayas.com,https://awrahabayas.com/products.json,shopify,>=30,limited,good,1989x2982,GBP,United Kingdom (city not stated; UK mobile +44 7942 362185 published in the header),Abayas,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0719/6665/4732/files/1_8eb65239-33d1-4850-a453-4670da6ada15.jpg?v=1760361080,"UK + EU27 ONLY. https://awrahabayas.com/policies/shipping-policy returns 200 but the body is EMPTY — the heading “Shipping policy” and nothing else (/pages/shipping-policy, /pages/delivery-information, /pages/faq all 404). The verifiable evidence is the site-wide Country/region selector, which enumerates exactly 28 destinations and no others: Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, United King","RANK 32/61 — near-perfectly uniform 1989x2982 art direction across essentially the whole 30-SKU catalogue, but the limited shipping is the thing to weigh: a US or Gulf reader cannot buy from this brand at all, so it earns its place on taste rather than reach. On taste it holds up — a tight edit built on linen and quiet architectural cuts (Soft Sand Linen, Midnight Grace, Detailed Batwing), zero menswear, zero kidswear, zero non-apparel. Base currency GBP confirmed (Shopify.currency active GBP rate 1.0 when fetched with a GB context; note the selector defaulted my connection to “Netherlands | E"
43,iLoveModesty,ilovemodesty,https://ilovemodesty.com,https://ilovemodesty.com/products.json,shopify,>=30,limited,good,1706x2048,USD as served to my probe (scout claimed CAD — see notes),"Mississauga, Ontario",Modest dresses,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0885/0957/9585/files/11_22202648-272d-4e97-ac89-b73287516efb.jpg?v=1777443879,"https://ilovemodesty.com/policies/shipping-policy — “International orders may be subject to duties and customs fees. The delivery agent will collect these fees when your order is delivered.” and “Yes. We ship to the US and UK through Canada Post, or through courier service depending on the amount of shipping paid.” The page adds that they ship to countries appearing in the signup dropdown and cannot ship where a country is absent from that list.","RANK 48/61 — accept, but the scout got this materially wrong on two counts and the curation lift is the heaviest of any accept bar Vivi Zubedi. (1) PRICE: scout said “250+ SKUs … at $65–$125”. Actual median across the feed is $13.00. (2) JEWELLERY: scout called it “a small jewellery line” — in fact 103 of the 250 page-1 SKUs (41%) are the 'AYA' costume-jewellery range (bracelets, necklaces, earrings, rings at $3–$15). Strip those and the remaining 147 apparel SKUs have a $55 median and read well (Blush Fil Coupe Floral Maxi Dress $81, Ice Blue Fil Coupe Tiered Maxi Cardigan $81). So the appare"
44,Rutba Fashion Abaya,rutba-abaya,https://rutbafashionabaya.com,https://rutbafashionabaya.com/products.json,shopify,243,limited,good,1638x2048,AED,Dubai,Abayas,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0752/3581/9745/files/r157-travel-wear-olive-abaya-set-1498626.jpg?v=1763894528,"https://rutbafashionabaya.com/policies/shipping-policy — “🌍 International Shipping (GCC Orders) — We currently offer international delivery to the following GCC countries: Saudi Arabia, Oman, Bahrain, Qatar, and Kuwait. International orders are processed within 10 working days after payment confirmation.” Domestic: “We proudly deliver abayas and modest wear across all Emirates… at a flat delivery fee of AED 30.” LIMITED, and the limit is material: UAE + 5 GCC states only, with no path to a UK/EU/US customer.","RANK 42/61 — ACCEPTED BUT THE WEAKEST GULF ACCEPT, AND TINA SHOULD MAKE THE FINAL CALL. Three caveats, listed honestly. (1) SHIPPING is GCC-only — for a UK/EU audience every Rutba card is a dead end, and if the site ever surfaces a shipping filter this brand fails it. (2) PRICING is the lowest of the accepted Gulf set by a wide margin — median AED 449, range 288–599 (~USD 78–163). That is mid-market, not aspirational; below Feeya and an order of magnitude below Beyond Label or Abadia. It is clearly not SHEIN-tier or dropship (243 SKUs, own photography, own set), so it does not trip the fast-fa"
45,Zühre,zuhre,https://zuhre.com.tr,https://zuhre.com.tr/products.json,shopify,>=30,limited,good,1200x1800,TRY,Istanbul,Modest,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0714/8961/8057/files/Z26YB1647T10000001_Dugmeli-Akiskan-Uzun-Form_R9986_1.jpg?v=1777458249,"EVIDENCE IS STRUCTURAL — no prose statement exists. The homepage exposes 1 Shopify Markets localization form with exactly 38 country options, enumerated in full: AT, AU, AZ, BA, BE, BH, CA, CH, DE, DK, DZ, ES, FR, GB, GR, IE, IQ, IT, JO, KW, KZ, LB, LU, LY, MA, MK, NL, NO, NZ, OM, PK, PT, QA, RO, SA, SE, TR, US. Western Europe, the Gulf (SA/QA/KW/BH/OM/JO/IQ/LB), North Africa, plus US, GB, CA, AU, NZ — but notably NOT the UAE. The written policy at /en/policies/shipping-policy is domestic only: “2500 TL Üzeri Alışverişlerde Kargo Ücretsiz!” with no international clause.","RANK 44/61 — solid volume brand (1,472 products, 38 enumerated markets), reliable and broad rather than a statement label; the lowest median resolution of the accepts is what places it here. Median price 3,999 TRY. INGESTION GOTCHA WORTH KNOWING BEFORE YOU ADD IT: every one of the 250 rows on page 1 has product_type 'ZUHRE' — the field carries zero classification signal, so lib/tag.ts will match on title text alone for all 1,472 products. Titles are descriptive Turkish (Düğmeli Akışkan Uzun Form Ada Çayı Tunik 1647, Desenli Uzun Kimono Taş Takım 1770), so a translate-brands entry is needed, an"
46,Ria Miranda,ria-miranda,https://riamiranda.com,https://riamiranda.com/products.json,shopify,>=30,unknown,good,1225x1531,IDR,Jakarta,Modest ready-to-wear,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0590/7854/1492/files/POUCH__0003_NED_2259_copy.jpg?v=1785998173,COULD NOT FIND A STATEMENT. https://riamiranda.com/policies/shipping-policy contains no international/worldwide/overseas wording and names no countries outside Indonesia. No /pages/shipping equivalent found. Recording as unknown rather than inferring from the currency selector.,"RANK 51/61 — the most internally consistent art direction in its batch (a single soft neutral/taupe seamless with identical lighting across every product, which will grid beautifully), but held down by resolution and unknown reach. CORRECTION ON RESOLUTION: the source claimed “1200x1743 typical”; the measured file is 1225x1531, i.e. a shorter, less portrait crop (1.25:1 rather than 1.45:1) and only 96K. Adequate, not large — it will soften on a big card given the site uses raw <img> with no next/image. Good product_type hygiene (Outerwear, Dress, Top, Scarves, Pants) which will help tagDiscove"
